#taskLabel	taskNamespace	taskType	nCores	memMb	priority	isForceLocal	dependencies	cwd	command
getChromDepth_sample000_estimateChromDepth_011_12		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/opt/biogrids/x86_64-linux/strelka/2.9.2/libexec/GetChromDepth --ref /data/references/b37/human_g1k_v37_decoy.fasta --align-file /scratch/2022_summer_internship/mjcho/FCD_project/bam/Targeted_C_Normal.sorted.RGadded.marked.realigned.fixed.recal.bam --output /scratch/2022_summer_internship/mjcho/FCD_project/Targeted_C_strelka/workspace/chromDepth.tsv.tmpdir/chromDepth.tsv.000.txt.tmpdir/chromDepth.tsv.000.txt_011_12 --chrom 12
getChromDepth_sample000_estimateChromDepth_013_14		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/opt/biogrids/x86_64-linux/strelka/2.9.2/libexec/GetChromDepth --ref /data/references/b37/human_g1k_v37_decoy.fasta --align-file /scratch/2022_summer_internship/mjcho/FCD_project/bam/Targeted_C_Normal.sorted.RGadded.marked.realigned.fixed.recal.bam --output /scratch/2022_summer_internship/mjcho/FCD_project/Targeted_C_strelka/workspace/chromDepth.tsv.tmpdir/chromDepth.tsv.000.txt.tmpdir/chromDepth.tsv.000.txt_013_14 --chrom 14
getChromDepth_sample000_estimateChromDepth_014_15		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/opt/biogrids/x86_64-linux/strelka/2.9.2/libexec/GetChromDepth --ref /data/references/b37/human_g1k_v37_decoy.fasta --align-file /scratch/2022_summer_internship/mjcho/FCD_project/bam/Targeted_C_Normal.sorted.RGadded.marked.realigned.fixed.recal.bam --output /scratch/2022_summer_internship/mjcho/FCD_project/Targeted_C_strelka/workspace/chromDepth.tsv.tmpdir/chromDepth.tsv.000.txt.tmpdir/chromDepth.tsv.000.txt_014_15 --chrom 15
getChromDepth_sample000_estimateChromDepth_015_16		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/opt/biogrids/x86_64-linux/strelka/2.9.2/libexec/GetChromDepth --ref /data/references/b37/human_g1k_v37_decoy.fasta --align-file /scratch/2022_summer_internship/mjcho/FCD_project/bam/Targeted_C_Normal.sorted.RGadded.marked.realigned.fixed.recal.bam --output /scratch/2022_summer_internship/mjcho/FCD_project/Targeted_C_strelka/workspace/chromDepth.tsv.tmpdir/chromDepth.tsv.000.txt.tmpdir/chromDepth.tsv.000.txt_015_16 --chrom 16
getChromDepth_sample000_estimateChromDepth_016_17		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/opt/biogrids/x86_64-linux/strelka/2.9.2/libexec/GetChromDepth --ref /data/references/b37/human_g1k_v37_decoy.fasta --align-file /scratch/2022_summer_internship/mjcho/FCD_project/bam/Targeted_C_Normal.sorted.RGadded.marked.realigned.fixed.recal.bam --output /scratch/2022_summer_internship/mjcho/FCD_project/Targeted_C_strelka/workspace/chromDepth.tsv.tmpdir/chromDepth.tsv.000.txt.tmpdir/chromDepth.tsv.000.txt_016_17 --chrom 17
getChromDepth_sample000_estimateChromDepth_017_18		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/opt/biogrids/x86_64-linux/strelka/2.9.2/libexec/GetChromDepth --ref /data/references/b37/human_g1k_v37_decoy.fasta --align-file /scratch/2022_summer_internship/mjcho/FCD_project/bam/Targeted_C_Normal.sorted.RGadded.marked.realigned.fixed.recal.bam --output /scratch/2022_summer_internship/mjcho/FCD_project/Targeted_C_strelka/workspace/chromDepth.tsv.tmpdir/chromDepth.tsv.000.txt.tmpdir/chromDepth.tsv.000.txt_017_18 --chrom 18
getChromDepth_sample000_estimateChromDepth_018_19		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/opt/biogrids/x86_64-linux/strelka/2.9.2/libexec/GetChromDepth --ref /data/references/b37/human_g1k_v37_decoy.fasta --align-file /scratch/2022_summer_internship/mjcho/FCD_project/bam/Targeted_C_Normal.sorted.RGadded.marked.realigned.fixed.recal.bam --output /scratch/2022_summer_internship/mjcho/FCD_project/Targeted_C_strelka/workspace/chromDepth.tsv.tmpdir/chromDepth.tsv.000.txt.tmpdir/chromDepth.tsv.000.txt_018_19 --chrom 19
getChromDepth_sample000_estimateChromDepth_021_22		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/opt/biogrids/x86_64-linux/strelka/2.9.2/libexec/GetChromDepth --ref /data/references/b37/human_g1k_v37_decoy.fasta --align-file /scratch/2022_summer_internship/mjcho/FCD_project/bam/Targeted_C_Normal.sorted.RGadded.marked.realigned.fixed.recal.bam --output /scratch/2022_summer_internship/mjcho/FCD_project/Targeted_C_strelka/workspace/chromDepth.tsv.tmpdir/chromDepth.tsv.000.txt.tmpdir/chromDepth.tsv.000.txt_021_22 --chrom 22
getChromDepth_sample000_estimateChromDepth_022_X		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/opt/biogrids/x86_64-linux/strelka/2.9.2/libexec/GetChromDepth --ref /data/references/b37/human_g1k_v37_decoy.fasta --align-file /scratch/2022_summer_internship/mjcho/FCD_project/bam/Targeted_C_Normal.sorted.RGadded.marked.realigned.fixed.recal.bam --output /scratch/2022_summer_internship/mjcho/FCD_project/Targeted_C_strelka/workspace/chromDepth.tsv.tmpdir/chromDepth.tsv.000.txt.tmpdir/chromDepth.tsv.000.txt_022_X --chrom X
getChromDepth_sample000_catChromDepth		command	1	2048	0	1	getChromDepth_sample000_estimateChromDepth_001_2,getChromDepth_sample000_estimateChromDepth_015_16,getChromDepth_sample000_estimateChromDepth_005_6,getChromDepth_sample000_estimateChromDepth_018_19,getChromDepth_sample000_estimateChromDepth_000_1,getChromDepth_sample000_estimateChromDepth_006_7,getChromDepth_sample000_estimateChromDepth_008_9,getChromDepth_sample000_estimateChromDepth_017_18,getChromDepth_sample000_estimateChromDepth_009_10,getChromDepth_sample000_estimateChromDepth_004_5,getChromDepth_sample000_estimateChromDepth_021_22,getChromDepth_sample000_estimateChromDepth_016_17,getChromDepth_sample000_estimateChromDepth_002_3,getChromDepth_sample000_estimateChromDepth_022_X,getChromDepth_sample000_estimateChromDepth_013_14,getChromDepth_sample000_estimateChromDepth_014_15,getChromDepth_sample000_estimateChromDepth_011_12		/opt/biogrids/x86_64-linux/strelka/2.9.2/libexec/cat.py --output /scratch/2022_summer_internship/mjcho/FCD_project/Targeted_C_strelka/workspace/chromDepth.tsv.tmpdir/chromDepth.tsv.000.txt /scratch/2022_summer_internship/mjcho/FCD_project/Targeted_C_strelka/workspace/chromDepth.tsv.tmpdir/chromDepth.tsv.000.txt.tmpdir/chromDepth.tsv.000.txt_000_1 /scratch/2022_summer_internship/mjcho/FCD_project/Targeted_C_strelka/workspace/chromDepth.tsv.tmpdir/chromDepth.tsv.000.txt.tmpdir/chromDepth.tsv.000.txt_001_2 /scratch/2022_summer_internship/mjcho/FCD_project/Targeted_C_strelka/workspace/chromDepth.tsv.tmpdir/chromDepth.tsv.000.txt.tmpdir/chromDepth.tsv.000.txt_002_3 /scratch/2022_summer_internship/mjcho/FCD_project/Targeted_C_strelka/workspace/chromDepth.tsv.tmpdir/chromDepth.tsv.000.txt.tmpdir/chromDepth.tsv.000.txt_004_5 /scratch/2022_summer_internship/mjcho/FCD_project/Targeted_C_strelka/workspace/chromDepth.tsv.tmpdir/chromDepth.tsv.000.txt.tmpdir/chromDepth.tsv.000.txt_005_6 /scratch/2022_summer_internship/mjcho/FCD_project/Targeted_C_strelka/workspace/chromDepth.tsv.tmpdir/chromDepth.tsv.000.txt.tmpdir/chromDepth.tsv.000.txt_006_7 /scratch/2022_summer_internship/mjcho/FCD_project/Targeted_C_strelka/workspace/chromDepth.tsv.tmpdir/chromDepth.tsv.000.txt.tmpdir/chromDepth.tsv.000.txt_008_9 /scratch/2022_summer_internship/mjcho/FCD_project/Targeted_C_strelka/workspace/chromDepth.tsv.tmpdir/chromDepth.tsv.000.txt.tmpdir/chromDepth.tsv.000.txt_009_10 /scratch/2022_summer_internship/mjcho/FCD_project/Targeted_C_strelka/workspace/chromDepth.tsv.tmpdir/chromDepth.tsv.000.txt.tmpdir/chromDepth.tsv.000.txt_011_12 /scratch/2022_summer_internship/mjcho/FCD_project/Targeted_C_strelka/workspace/chromDepth.tsv.tmpdir/chromDepth.tsv.000.txt.tmpdir/chromDepth.tsv.000.txt_013_14 /scratch/2022_summer_internship/mjcho/FCD_project/Targeted_C_strelka/workspace/chromDepth.tsv.tmpdir/chromDepth.tsv.000.txt.tmpdir/chromDepth.tsv.000.txt_014_15 /scratch/2022_summer_internship/mjcho/FCD_project/Targeted_C_strelka/workspace/chromDepth.tsv.tmpdir/chromDepth.tsv.000.txt.tmpdir/chromDepth.tsv.000.txt_015_16 /scratch/2022_summer_internship/mjcho/FCD_project/Targeted_C_strelka/workspace/chromDepth.tsv.tmpdir/chromDepth.tsv.000.txt.tmpdir/chromDepth.tsv.000.txt_016_17 /scratch/2022_summer_internship/mjcho/FCD_project/Targeted_C_strelka/workspace/chromDepth.tsv.tmpdir/chromDepth.tsv.000.txt.tmpdir/chromDepth.tsv.000.txt_017_18 /scratch/2022_summer_internship/mjcho/FCD_project/Targeted_C_strelka/workspace/chromDepth.tsv.tmpdir/chromDepth.tsv.000.txt.tmpdir/chromDepth.tsv.000.txt_018_19 /scratch/2022_summer_internship/mjcho/FCD_project/Targeted_C_strelka/workspace/chromDepth.tsv.tmpdir/chromDepth.tsv.000.txt.tmpdir/chromDepth.tsv.000.txt_021_22 /scratch/2022_summer_internship/mjcho/FCD_project/Targeted_C_strelka/workspace/chromDepth.tsv.tmpdir/chromDepth.tsv.000.txt.tmpdir/chromDepth.tsv.000.txt_022_X
getChromDepth_mergeChromDepth		command	1	2048	0	1	getChromDepth_sample000_catChromDepth		/opt/biogrids/x86_64-linux/strelka/2.9.2/libexec/mergeChromDepth.py --out /scratch/2022_summer_internship/mjcho/FCD_project/Targeted_C_strelka/workspace/chromDepth.tsv --in /scratch/2022_summer_internship/mjcho/FCD_project/Targeted_C_strelka/workspace/chromDepth.tsv.tmpdir/chromDepth.tsv.000.txt
getChromDepth_removeTmpDir		command	1	2048	0	1	getChromDepth_mergeChromDepth		rm -rf /scratch/2022_summer_internship/mjcho/FCD_project/Targeted_C_strelka/workspace/chromDepth.tsv.tmpdir
CallGenome		workflow	0	0	0	0	getChromDepth_mergeChromDepth		CallWorkflow
makeTmpDir	CallGenome	command	1	2048	0	1			mkdir -p /scratch/2022_summer_internship/mjcho/FCD_project/Targeted_C_strelka/workspace/genomeSegment.tmpdir
callGenomeSegment_chromId_000_1_0000	CallGenome	command	1	1536	0	0	makeTmpDir		/opt/biogrids/x86_64-linux/strelka/2.9.2/libexec/strelka2 --region 1:1-11869078 --ref /data/references/b37/human_g1k_v37_decoy.fasta --max-indel-size 49 --call-regions-bed /scratch/2022_summer_internship/mjcho/FCD_project/bed/targeted.bed.gz --min-mapping-quality 20 --somatic-snv-rate 0.0001 --shared-site-error-rate 0.0000000005 --shared-site-error-strand-bias-fraction 0.0 --somatic-indel-rate 0.000001 --shared-indel-error-factor 2.2 --tier2-min-mapping-quality 0 --strelka-snv-max-filtered-basecall-frac 0.4 --strelka-snv-max-spanning-deletion-frac 0.75 --strelka-snv-min-qss-ref 15 --strelka-indel-max-window-filtered-basecall-frac 0.3 --strelka-indel-min-qsi-ref 40 --ssnv-contam-tolerance 0.15 --indel-contam-tolerance 0.15 --somatic-snv-scoring-model-file /opt/biogrids/x86_64-linux/strelka/2.9.2/share/config/somaticSNVScoringModels.json --somatic-indel-scoring-model-file /opt/biogrids/x86_64-linux/strelka/2.9.2/share/config/somaticIndelScoringModels.json --normal-align-file /scratch/2022_summer_internship/mjcho/FCD_project/bam/Targeted_C_Normal.sorted.RGadded.marked.realigned.fixed.recal.bam --tumor-align-file /scratch/2022_summer_internship/mjcho/FCD_project/bam/Targeted_C_Disease.sorted.RGadded.marked.realigned.fixed.recal.bam --somatic-snv-file /scratch/2022_summer_internship/mjcho/FCD_project/Targeted_C_strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_000_1_0000.vcf --somatic-indel-file /scratch/2022_summer_internship/mjcho/FCD_project/Targeted_C_strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_000_1_0000.vcf --stats-file /scratch/2022_summer_internship/mjcho/FCD_project/Targeted_C_strelka/workspace/genomeSegment.tmpdir/runStats.chromId_000_1_0000.xml --strelka-chrom-depth-file /scratch/2022_summer_internship/mjcho/FCD_project/Targeted_C_strelka/workspace/chromDepth.tsv --strelka-max-depth-factor 3.0
fixVcfHeader_chromId_000_1_0000	CallGenome	command	1	2048	0	1	callGenomeSegment_chromId_000_1_0000		"/usr/bin/python" -E "/opt/biogrids/x86_64-linux/strelka/2.9.2/libexec/vcfCmdlineSwapper.py" "/opt/biogrids/x86_64-linux/strelka/2.9.2/bin/configureStrelkaSomaticWorkflow.py --normalBam ./bam/Targeted_C_Normal.sorted.RGadded.marked.realigned.fixed.recal.bam --tumorBam ./bam/Targeted_C_Disease.sorted.RGadded.marked.realigned.fixed.recal.bam --referenceFasta /data/references/b37/human_g1k_v37_decoy.fasta --callRegions ./bed/targeted.bed.gz --runDir ./Targeted_C_strelka" < "/scratch/2022_summer_internship/mjcho/FCD_project/Targeted_C_strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_000_1_0000.vcf" > "/scratch/2022_summer_internship/mjcho/FCD_project/Targeted_C_strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_000_1_0000.vcf.reheader.tmp" && mv "/scratch/2022_summer_internship/mjcho/FCD_project/Targeted_C_strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_000_1_0000.vcf.reheader.tmp" "/scratch/2022_summer_internship/mjcho/FCD_project/Targeted_C_strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_000_1_0000.vcf" && "/usr/bin/python" -E "/opt/biogrids/x86_64-linux/strelka/2.9.2/libexec/vcfCmdlineSwapper.py" "/opt/biogrids/x86_64-linux/strelka/2.9.2/bin/configureStrelkaSomaticWorkflow.py --normalBam ./bam/Targeted_C_Normal.sorted.RGadded.marked.realigned.fixed.recal.bam --tumorBam ./bam/Targeted_C_Disease.sorted.RGadded.marked.realigned.fixed.recal.bam --referenceFasta /data/references/b37/human_g1k_v37_decoy.fasta --callRegions ./bed/targeted.bed.gz --runDir ./Targeted_C_strelka" < "/scratch/2022_summer_internship/mjcho/FCD_project/Targeted_C_strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_000_1_0000.vcf" > "/scratch/2022_summer_internship/mjcho/FCD_project/Targeted_C_strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_000_1_0000.vcf.reheader.tmp" && mv "/scratch/2022_summer_internship/mjcho/FCD_project/Targeted_C_strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_000_1_0000.vcf.reheader.tmp" "/scratch/2022_summer_internship/mjcho/FCD_project/Targeted_C_strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_000_1_0000.vcf"
compressSegmentOutput_chromId_000_1_0000	CallGenome	command	1	2048	0	1	fixVcfHeader_chromId_000_1_0000		"/opt/biogrids/x86_64-linux/strelka/2.9.2/libexec/bgzip" "/scratch/2022_summer_internship/mjcho/FCD_project/Targeted_C_strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_000_1_0000.vcf" && "/opt/biogrids/x86_64-linux/strelka/2.9.2/libexec/bgzip" "/scratch/2022_summer_internship/mjcho/FCD_project/Targeted_C_strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_000_1_0000.vcf"
callGenomeSegment_chromId_000_1_0001	CallGenome	command	1	1536	0	0	makeTmpDir		/opt/biogrids/x86_64-linux/strelka/2.9.2/libexec/strelka2 --region 1:11869079-23738156 --ref /data/references/b37/human_g1k_v37_decoy.fasta --max-indel-size 49 --call-regions-bed /scratch/2022_summer_internship/mjcho/FCD_project/bed/targeted.bed.gz --min-mapping-quality 20 --somatic-snv-rate 0.0001 --shared-site-error-rate 0.0000000005 --shared-site-error-strand-bias-fraction 0.0 --somatic-indel-rate 0.000001 --shared-indel-error-factor 2.2 --tier2-min-mapping-quality 0 --strelka-snv-max-filtered-basecall-frac 0.4 --strelka-snv-max-spanning-deletion-frac 0.75 --strelka-snv-min-qss-ref 15 --strelka-indel-max-window-filtered-basecall-frac 0.3 --strelka-indel-min-qsi-ref 40 --ssnv-contam-tolerance 0.15 --indel-contam-tolerance 0.15 --somatic-snv-scoring-model-file /opt/biogrids/x86_64-linux/strelka/2.9.2/share/config/somaticSNVScoringModels.json --somatic-indel-scoring-model-file /opt/biogrids/x86_64-linux/strelka/2.9.2/share/config/somaticIndelScoringModels.json --normal-align-file /scratch/2022_summer_internship/mjcho/FCD_project/bam/Targeted_C_Normal.sorted.RGadded.marked.realigned.fixed.recal.bam --tumor-align-file /scratch/2022_summer_internship/mjcho/FCD_project/bam/Targeted_C_Disease.sorted.RGadded.marked.realigned.fixed.recal.bam --somatic-snv-file /scratch/2022_summer_internship/mjcho/FCD_project/Targeted_C_strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_000_1_0001.vcf --somatic-indel-file /scratch/2022_summer_internship/mjcho/FCD_project/Targeted_C_strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_000_1_0001.vcf --stats-file /scratch/2022_summer_internship/mjcho/FCD_project/Targeted_C_strelka/workspace/genomeSegment.tmpdir/runStats.chromId_000_1_0001.xml --strelka-skip-header --strelka-chrom-depth-file /scratch/2022_summer_internship/mjcho/FCD_project/Targeted_C_strelka/workspace/chromDepth.tsv --strelka-max-depth-factor 3.0
compressSegmentOutput_chromId_000_1_0001	CallGenome	command	1	2048	0	1	callGenomeSegment_chromId_000_1_0001		"/opt/biogrids/x86_64-linux/strelka/2.9.2/libexec/bgzip" "/scratch/2022_summer_internship/mjcho/FCD_project/Targeted_C_strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_000_1_0001.vcf" && "/opt/biogrids/x86_64-linux/strelka/2.9.2/libexec/bgzip" "/scratch/2022_summer_internship/mjcho/FCD_project/Targeted_C_strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_000_1_0001.vcf"
callGenomeSegment_chromId_000_1_0002	CallGenome	command	1	1536	0	0	makeTmpDir		/opt/biogrids/x86_64-linux/strelka/2.9.2/libexec/strelka2 --region 1:23738157-35607234 --ref /data/references/b37/human_g1k_v37_decoy.fasta --max-indel-size 49 --call-regions-bed /scratch/2022_summer_internship/mjcho/FCD_project/bed/targeted.bed.gz --min-mapping-quality 20 --somatic-snv-rate 0.0001 --shared-site-error-rate 0.0000000005 --shared-site-error-strand-bias-fraction 0.0 --somatic-indel-rate 0.000001 --shared-indel-error-factor 2.2 --tier2-min-mapping-quality 0 --strelka-snv-max-filtered-basecall-frac 0.4 --strelka-snv-max-spanning-deletion-frac 0.75 --strelka-snv-min-qss-ref 15 --strelka-indel-max-window-filtered-basecall-frac 0.3 --strelka-indel-min-qsi-ref 40 --ssnv-contam-tolerance 0.15 --indel-contam-tolerance 0.15 --somatic-snv-scoring-model-file /opt/biogrids/x86_64-linux/strelka/2.9.2/share/config/somaticSNVScoringModels.json --somatic-indel-scoring-model-file /opt/biogrids/x86_64-linux/strelka/2.9.2/share/config/somaticIndelScoringModels.json --normal-align-file /scratch/2022_summer_internship/mjcho/FCD_project/bam/Targeted_C_Normal.sorted.RGadded.marked.realigned.fixed.recal.bam --tumor-align-file /scratch/2022_summer_internship/mjcho/FCD_project/bam/Targeted_C_Disease.sorted.RGadded.marked.realigned.fixed.recal.bam --somatic-snv-file /scratch/2022_summer_internship/mjcho/FCD_project/Targeted_C_strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_000_1_0002.vcf --somatic-indel-file /scratch/2022_summer_internship/mjcho/FCD_project/Targeted_C_strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_000_1_0002.vcf --stats-file /scratch/2022_summer_internship/mjcho/FCD_project/Targeted_C_strelka/workspace/genomeSegment.tmpdir/runStats.chromId_000_1_0002.xml --strelka-skip-header --strelka-chrom-depth-file /scratch/2022_summer_internship/mjcho/FCD_project/Targeted_C_strelka/workspace/chromDepth.tsv --strelka-max-depth-factor 3.0
compressSegmentOutput_chromId_000_1_0002	CallGenome	command	1	2048	0	1	callGenomeSegment_chromId_000_1_0002		"/opt/biogrids/x86_64-linux/strelka/2.9.2/libexec/bgzip" "/scratch/2022_summer_internship/mjcho/FCD_project/Targeted_C_strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_000_1_0002.vcf" && "/opt/biogrids/x86_64-linux/strelka/2.9.2/libexec/bgzip" "/scratch/2022_summer_internship/mjcho/FCD_project/Targeted_C_strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_000_1_0002.vcf"
